微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
McFvArTI3,红米Note5，本地重新下载系统包更新了一次（同版本）刷完以后，原来的密码解不开了。6了  原图 ,,https://wx3.sinaimg.cn/large/007RKE0Qgy1h7n1bkva3wj30k00zkq5y.jpg,无,无,2022-10-30 09:01,Android客户端,0,0,0
M4RxJtxr1,%23%E6%96%B0%E7%96%86%E9%85%B8%E5%A5%B6%E7%96%99%E7%98%A9%E6%9C%88%E9%A5%BC%23听说有不少人泡面都吃了一个月了，现在要供月饼了呀？ 乱码不知道怎么回事  原图 ,,https://wx4.sinaimg.cn/large/007RKE0Qgy1h5zopgmfjpj30k00zkmze.jpg,无,无,2022-09-09 00:57,HTC Phone,0,0,0
M1CvinL1D,突然就封城，先关店铺关超市，我家米刚好又吃完了，你说咋整  ,,无,无,无,2022-08-18 17:09,Android客户端,0,0,2
LBHeuF2Ux,Nexus6p的尾巴居然是免费的  原图 ,,https://wx4.sinaimg.cn/large/007RKE0Qgy1h42b0gqq9mj31401z4aew.jpg,无,无,2022-07-11 00:38,华为Nexus 6P,3,0,3
LzMleAOi0,今天能看HTC的笑话吗？我觉得这操作比格力都自信，怎么看都是千元机。 温州  显示地图 ,,无,无,温州,2022-06-28 09:57,Android客户端,1,0,3
LjmxPwSvN,我有两个顺丰快递卡温州站点，所以就看下路线，结果发现了这玩意儿，原来很多顺丰快递的路线描述是假的？杭州中转描述实质上多数并不是杭州？甚至都不在浙江境内。  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/007RKE0Qgy1h06wrw48pfj30zo1uoaqq.jpg,http://ww4.sinaimg.cn/large/007RKE0Qgy1h06wrwztl0j30zo1uldwu.jpg,http://ww2.sinaimg.cn/large/007RKE0Qgy1h06wrxram3j30zo1tkdx1.jpg",无,无,2022-03-12 10:52,iPhone客户端,0,0,0
LazZSpoNM,HTC One Max 8160 (uhl) 5.0.2 Sense，地球上8160 5.0.2唯一一个全功能Rom(支持指纹)，只支持S-OFF机子(附带5.0.2 8160固件)链接：网页链接 提取码：9p96 小文件是固件，需要用ruu 模式刷入，刷完固件进recovery刷系统包，支持beats(adsp固件支持)，支持harman m8驱动，支持Jbl Butterfly 2驱动，BoomSound音效 M8驱动(有别于One Max原版Boomsound)。                                 ,,无,无,无,2022-01-13 16:34,iPhone客户端,2,0,2
L02KRg9ZG,这机子居然还有尾巴 温州·平阳县  显示地图 ,,无,无,温州·平阳县,2021-11-05 09:34,HTC Desire 828,1,0,1
KBiVpixtl,使用小米11 Ultra一天，遇到多次影响体验甚至普通用户无法正常使用的bug（浏览器页面占据整个屏幕无法返回其他界面）。  原图 ,,https://wx1.sinaimg.cn/large/007RKE0Qgy1gv4aszdyv7j61402gwjyu02.jpg,无,无,2021-10-05 12:00,小米11 Ultra,1,0,4
Ky8mHffdl,平时微博上找不到我的可以找我闲鱼，大号sun_dream19881108 小号 日之梦数码由于卖Pixel，号很容易被404类的词汇河蟹，防不胜防，不搞两个号你们根本找不到我。微信可➕  原图 ,,https://wx2.sinaimg.cn/large/007RKE0Qgy1gug735kf9wj60s311c0w002.jpg,无,无,2021-09-14 15:37,iPhone客户端,1,0,0
KnLMU7SNp,HTC Desire Eye好烫，比M8烫多了，是防水额缘故？  ,,无,无,无,2021-07-08 11:45,Android客户端,1,0,0
KlXPpv3zt,心情不太好，刷坏三个HTC Desire19+了  ,,无,无,无,2021-06-26 14:43,HTC U11 智感一握,1,0,2
Kl602kdwo,HTC Desire20plus/Desire20pro/Desire21p/U20 5g这类机型是没有HTC sense home的，是的连HTC首页都没有，是aosp启动器加一个HTC时钟，最后一台带HTC Sense Home的机型是HTC Desire19s 温州·平阳县  显示地图 ,,无,无,温州·平阳县,2021-06-20 21:41,HTC D816d,2,0,4
K7eB1fUwp,刚想起来这是谁了，HTC Sense首页微博绑定账号。  原图 ,,https://wx2.sinaimg.cn/large/007RKE0Qly1goro93lfcsj30k00zkjzs.jpg,无,无,2021-03-21 17:50,HTC Phone,7,1,3
K6SxccBQE,好久没来  ,,无,无,无,2021-03-19 09:40,Android,8,0,0
