,用户名,用户id,帖子
0,财经网科技,5061229888?,"
                    #国人买iPhone14Pro需工作22天#【全球用户购买一部 iPhone 14 Pro 需要工作多少天：#瑞士购买iPhone所需工作时间最短# 】据IT之家消息，Picoid 对不同国家和地区的 iPhone 14 Pro（128 GB）首发价格与平均工作收入进行了收集，并以此制作了今年的 iPhone 指数 —— 需要工作多少天才能购买一部 iPhone  ​  展开全文c                "
0,老板联播,5994003317?,"
                    【苹果称#iPhone14Pro收货需要等待更长时间# 】当地时间11月6日，苹果公司发表声明称，富士康郑州工厂目前的产能大幅降低，iPhone 14 Pro和iPhone 14 Pro Max的出货量将低于预期，顾客将需要等待更长的时间才能收到新产品。苹果正在与供应商密切合作，以恢复正常的生产水平，同时确保每个工人的健康和 ​  展开全文c                "
0,UNCLE疯叔,2322312760?,"
                    近几年真正能平衡到重量/尺寸/观感的iPhone只有iPhone X吧？第二年更新到了XS那一代过后就再也没有这么到位的机型咯… ​                "
0,空一格君,2174397023?,"
                    苹果今天就郑州富士康疫情发表声明，简单说就是工人健康是首要的，但是用户收到 iPhone 14 Pro 和 iPhone 14 Pro Max 的时间会延长，原文如下：COVID-19 限制暂时影响了位于中国郑州的主要 iPhone 14 Pro 和 iPhone 14 Pro Max 组装工厂。该设施目前正在以显着减少的容量运行。正如我们在整个 COVID- ​  展开全文c                "
0,吃饭睡觉认真工作2020,3164187354?,"
                    垃圾苹果，做个长截图功能很难吗&#xe627;iPhone ​                "
0,环球市场播报,1640337222?,"
                    【苹果将新iPhone产量削减300万部 因需求降温】#苹果将iPhone产量削减300万部# 知情人士透露，苹果公司预计今年iPhone 14手机的产量将比最初预期的至少减少300万部。知情人士表示，该公司及其供应商现在的生产目标是8700万台或更少，此前的目标是9000万台。减产的主因是对iPhone 14和14 Plus机型的需求 ​  展开全文c                "
0,金大小姐love,2732480531?,"
                    &#xe627;iphone13 用惯了小屏手机 换13像块大板砖拍照还黄 都不如小8 ​                "
0,花吃君,5628095500?,"
                    #国人买iPhone14Pro需工作22天#22天说出来工厂上班的都不相信估计得×个2吧 ​                "
0,小衍学姐,1089542203?,"
                    iPhone 14ProMax这款超大杯旗舰机相较上一代，各方面都有显著提升，也是拥有ProMotion自适应刷新率，告别60HZ，最大不同在于14系列的灵动岛药丸设计，取代了以往的刘海，充电器方面，搭配新款原装35W充电器(真的想知道iPhone的快充时代什么时候才能到来)。#iphone14 pro max#  ​  展开全文c                "
0,靳颜菲,3165221305?,"
                    iPhone调整参数拍出高级感！ 学到了 ​                "
0,嗯嗯恩嗯嗯嗯好,5456751169?,"
                    #国人买iPhone14Pro需工作22天#哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ​                "
