微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
McS48Bp2Y,【本月玩什么】这些新游戏值得一试守望先锋 「归来」 / Overwatch 2维多利亚 3 / Victoria 3蓓优妮塔 3 / Bayonetta 3MARVEL SNAP马力欧+疯狂兔子 星耀之愿 / MARIO + RABBIDS SPARKS OF HOPE使命召唤：现代战争 II 2022 / Call of Duty: Modern Warfare II乐高 积木故事 / LEGO Bricktales瘟疫传说：安魂曲 / A Plague Tale: Requiem蔑视 / Scorn黄金魁犬 / Sunday Gold哥谭骑士 / Gotham Knights🔗：网页链接             [组图共9张]      原图                             ,,"http://ww1.sinaimg.cn/large/72157b63ly1h7okqwhtucj20v40hi0z8.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7okqzrlu6j20v40hitgi.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7okr29w8vj20v40hiju6.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7okr4y976j20v40hin1c.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7okr7lqnrj20v40hi432.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7okrbskpij20v40hiq79.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7okrfgxb1j20v40hi0ym.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7okrjgl0ej20v40hin51.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7okrmmft4j20v40hi78l.jpg",无,无,2022-10-31 16:59,微博 weibo.com,4,0,5
McRyzyMnJ,大家久等了，本次周边上新我们为你带来了真无线耳机 PiPods 🎉PiPods 由少数派 × SONGX 共同制作，在设计方面，除了加入少数派的标志性红色，它同心圆的样式给予我们启发，联想到了 iPod 标志性的 click wheel 设计。耳机本体续航 7 小时，搭配充电盒总续航为 28 小时，支持 USB-C & Qi 标准无线充电。105db 高灵敏度，PET+碳金复合材料振膜，拥有音乐 / 游戏双模式，采用了半入耳式设计，舒适无感更贴耳。支持 IPX4 级别防水，也可以轻触耳机进行多媒体控制。本产品为众筹发售的形式，众筹价格 ¥ 269，Prime 会员再减 ¥ 20，购买🔗见评论。             [组图共6张]      原图                             ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7oiaybeimj20u01sxagi.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7oia3g01mj20j60lkwf1.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7oiaeustbj20j60j6jrr.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7oiakgcq2j20j60j6glr.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7oian6tshj20j60cst8p.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7oiapgfrgj20j60cs74h.jpg",无,无,2022-10-31 15:41,微博 weibo.com,17,38,15
McRhDn2Lr,由于 USB-C 转换器断货，一些 Apple Store 零售店暂停销售第一代 Apple Pencil  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7ogow4l76j21120u0gqa.jpg,无,无,2022-10-31 15:00,微博 weibo.com,34,4,11
McR7dDtwA,善用 iCloud 共享图库，多人回忆轻松收藏iCloud 共享照片图库是随 iOS 16.1 和 macOS Ventura 推出的新功能。根据官方介绍，共享照片图库「可让你和另外最多五位用户在单独的 iCloud 照片图库中共享照片和视频，这样每个人都能协作处理精选集并欣赏更为完整的回忆。」🔗：网页链接  原图 ,,https://wx1.sinaimg.cn/large/72157b63ly1h7ogl36690j213g0jotal.jpg,无,无,2022-10-31 14:34,微博 weibo.com,6,1,1
McPQusSlz,买就送免费 5GB iCloud 存储  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7oaxedlxdj20v81d5gx6.jpg,无,无,2022-10-31 11:20,无,23,2,2
McOXT0QrB,#派早报# 01. 马斯克完成推特收购02. Adobe 从旗下软件中删除潘通色卡03. Apple 系统漏洞允许无授权记录 Siri 指令04. Telegram CEO 指责 App Store 压制创业05. 高通指控 ARM 破坏其与客户关系06. 欧盟计划 2035 年禁售内燃机汽车🔗：派早报：马斯克完成推特收购、Adobe 从旗下软件中删除潘通色卡等·  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7o72oqmc0j20j7cmlu0x.jpg,无,无,2022-10-31 09:05,微博 weibo.com,14,2,4
McJnPnkJw,具透 | 三星 One UI 5 评测：当 Android 13 遇上 iOS 16 以原生 Android 为基础进行定制化的路有很多，可惜 One UI 5 选择了最轻松的那一条。🔗：具透 | 三星 One UI 5 评测：当 Android 13 遇上 iOS 16  原图 ,,https://wx1.sinaimg.cn/large/72157b63ly1h7nig6pbjcj20go08cgmj.jpg,无,无,2022-10-30 18:53,微博 weibo.com,38,6,3
McHYbxVWL,从《中国好歌曲》中淘金，怀念难得的华语原创音乐选秀这篇文章中，我就来推荐一些从《中国好歌曲》系列中走出的音乐人与音乐作品，帮你重拾一下对华语音乐的信心。🔗：从《中国好歌曲》中淘金，怀念难得的华语原创音乐选秀·  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7nc7j3ejmj21o70u0gt1.jpg,无,无,2022-10-30 15:17,微博 weibo.com,19,5,4
McFuKc76s,四步构建有效的个人记账系统：输入、处理、输出和预算把记账系统分为输入、处理、输出和预算 4 个模块，帮你更有逻辑地使用任何一个记账 App。🔗：如何搭建有效的记账系统  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7n1a5g6npj213g0jon0d.jpg,无,无,2022-10-30 08:59,微博 weibo.com,22,8,4
McxGBdXjq,从「爱奇艺」到生产力： iPad 发布这 12 年经历了什么iPad 这一系列产品仍然是那个几乎凭一己之力拓开了整个「平板电脑」市场的、标杆一样的存在。然而在十二年前，乔布斯在发布会上端出初代的 iPad 时，故事却稍微有那么一点点不一样。🔗：从「爱奇艺」到生产力： iPad 发布这 12 年经历了什么  原图 ,,https://wx1.sinaimg.cn/large/72157b63ly1h7m2t4md7tj213g0jo79o.jpg,无,无,2022-10-29 13:06,微博 weibo.com,23,3,7
McwsrxKWh,派周报 | 明年复明年「Linux 桌面之年」和「iPad 多任务之年」这两个类似玩笑的存在，有部分以讹传讹和刻板印象的因素，但仍然揭示了一些共同问题，值得主事者反思、后来人留意。🔗：明年复明年  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7lwfzxfycj213g0jowhl.jpg,无,无,2022-10-29 09:59,微博 weibo.com,10,4,1
Mcweyds8r,本周看什么 | 最近值得一看的 8 部作品[美剧] 边缘世界 第一季[日剧] 假面骑士黑日[美剧] 吉尔莫·德尔·托罗的珍奇柜[动画] pop 子和 pipi 美的日常 第二季[瑞典剧] 串流先锋[动画] 4 个人各自有着自己的秘密[动画] 鬼族：雷神传说[电影] 地狱尖兵[动画] 浪漫杀手🔗：#本周看什么             [组图共9张]      原图                             ,,"http://ww2.sinaimg.cn/large/72157b63ly1h7lwdj0ps5j20v40dajus.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7lwdlojcej20v40ap401.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7lwdp8tq7j20v40daaca.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7lwds2m60j20me09itb1.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7lwdxumc5j20v40daac4.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7lwe18129j20v40d8q7f.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7lwe3sp08j20v40cstb6.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7lwe7nw5mj20v40datc5.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7lweaoctzj20v40dd0vw.jpg",无,无,2022-10-29 09:24,微博 weibo.com,16,5,2
Mcq9W5y9n,☕️咖啡地图 | 美洲产地里的牙买加蓝山与夏威夷科纳 美洲产地，可以说是十分丰富，知名的产地比如巴西、哥伦比亚、巴拿马已经着重介绍过了。其他产地有的过于冷门，有的体量不算大。因此我会将它们合并起来，系统的介绍各个产地的情况。🔗：咖啡地图 | 美洲产地里的牙买加蓝山与夏威夷科纳  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7l5kvr2r7j213g0jojyo.jpg,无,无,2022-10-28 17:56,微博 weibo.com,9,3,0
McpfBoEPQ,一年一度双十一，是时候升级你的 Apple 设备了新机型都有优惠折扣，以 iPhone 14 Pro 为例，可以领取 350 元优惠券，iPad 和 Mac 产品还支持叠加 88VIP 消费券。京东平台也有指定机型领券立减 600 的活动，大家都可以蹲蹲，毕竟官方店买着比较放心，售后也更好。 #iPhone14Pro双十一首次优惠#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/72157b63ly1h7l1h56iphj20u01nywly.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7l1kbupohj20v91eldoh.jpg",无,无,2022-10-28 15:38,无,16,1,12
McoVmFEGu,【自己动手实现 Android 自动化：用 Auto.js 自动复制短信验证码】即便是自动化，我也希望能通过代码来完成，而 Auto.js 就是这么一款功能丰富、且允许我们编写代码来实现自动化的 Android 应用。本文介绍如何用 Auto.js 自动复制短信验证码。| 全文：自己动手实现 Android 自动化：用 Auto.js 自动复制短信验证码  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7l04l08duj213g0jo75a.jpg,无,无,2022-10-28 14:48,微博 weibo.com,17,9,0
McmFicj6D,#派早报# 01. Apple 推出新版网页版 iCloud02. Spotify 称其将于 2023 年涨价03. Meta 将于明年推出新款消费级虚拟现实头显04. 尼康发售全新 17-28mm ƒ/2.8 变焦镜头🔗：派早报：Apple 推出新版网页版 iCloud、Spotify 称其将于 2023 年涨价等  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7kq4r3bv4j20q99zihdt.jpg,无,无,2022-10-28 09:03,微博 weibo.com,12,2,7
McgW3mi1w,少数派的作者们最近买了啥？- 王百顺BS：Nutale Air Pro - Airtag下位替代品- 许万里Alva：倍思双 Type-C 20W快充插线板- 纠结的阿兰：HUAWEI Eyewear 智能眼镜- Windy温蒂：空谷透明机械雨伞- johnbens：LEGO乐高 41957 DOTS系列 装饰贴套装- Yaaang：自从有了它，每天都很期待午睡- 许万里Alva：富士 XC 50-230mm F4.5-6.7 OIS II🔗：新玩意 125｜少数派的作者们最近买了啥？·             [组图共7张]      原图                             ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7jzvqo7qfj20v40nck2n.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jzvsj9zkj20v40ad3z6.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jzvxy3vtj20v40ncwio.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7jzw34jl6j20o10g1jt0.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7jzwb1efuj20v40kqn3q.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7jzwi3elmj20u0140wik.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7jzwnlhawj20u00u0agj.jpg",无,无,2022-10-27 18:28,微博 weibo.com,11,2,2
McgGCAcNT,🎁 10 月 30 日抽两位送出《从零开始做好个人记账》兑换码理性消费，认真记账，和购物血拼后遗症说拜拜《从零开始做好个人记账》由拥有多年财会经验的少数派作者撰写 ，带你零基础入门个人记账，包括软件使用技巧、记账逻辑梳理、问题答疑等方面。🔗：从零开始做好个人记账，和购物节血拼后遗症说拜拜·  抽奖详情                  原图                             ,,https://wx4.sinaimg.cn/large/72157b63ly1h7jzq8bv79j213g0jon0d.jpg,无,无,2022-10-27 17:49,微博 weibo.com,14,76,21
McgjB8pqX,桌椅、键鼠、颈托……人体工学设备是智商税吗？大部分长期坐在电脑前办公的人，每天连续坐着的时间少则 1 个小时，多则 3-4 个小时，长此以往不免腰酸背痛脖子疼。这时我们便会想到办公室常见的人体工学设备：人体工学椅、人体工学键盘、人体工学鼠标，不一而足，那这些人体工学设备能否像广告里说的那样缓解我们的疼痛呢？如果能够缓解疼痛，我们在挑选人体工学设备时，又有什么注意事项呢？🔗：桌椅、键鼠、颈托……人体工学设备是智商税吗？                  原图                             ,,https://wx2.sinaimg.cn/large/72157b63ly1h7jy4cfd82j20ku0bgq4t.jpg,无,无,2022-10-27 16:53,无,16,8,0
McfRmzb5v,#TUV莱茵2022全球显示大会# 除了传统的显示设备，德国莱茵 TUV 联合中标院展开了 AR / VR 对于视觉影响的研究。  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/72157b63ly1h7jw3ofanej23402c01l0.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jw3uz6ipj23402c07wk.jpg",无,无,2022-10-27 15:43,无,5,1,1
McfNer4JH,#TUV莱茵2022全球显示大会# 经过 35 年的积累，@德国莱茵TUV 已经拥有 7 个板块的认证服务，其中大家最熟悉的应该就是在显示设备上常见的「低蓝光」，与硬件厂商合作，拥有软件 / 硬件低蓝光两种方案，帮助现在的显示产品提供了蓝光管控的同时保持色温色准。而「眼舒适」在除了低蓝光之外，对频闪、拖影、反射也提出了要求。             [组图共4张]      原图                             ,,"http://ww1.sinaimg.cn/large/72157b63ly1h7jvlrpqsuj23402c0e83.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jvlv036gj23402c0e83.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7jvndzttjj23402c0npf.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jvrfv2tbj23402c0e83.jpg",无,无,2022-10-27 15:33,无,2,1,0
Mcf2SqqGr,全线涨价，种类繁多，2022 年如何买到适合自己的那台 iPad？只希望你在看完这篇文章之后，能够帮助你做出产品选择的同时，也能帮你找到当决定要买 iPad 的初心。🔗：全线涨价、种类繁多：冬季新 iPad 怎么选？·  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7jsibqs89j213g0jojto.jpg,无,无,2022-10-27 13:39,微博 weibo.com,11,7,1
Mcegffy37,#TUV莱茵150周年中国品质体验之旅# 一个颇具人文细节的「过敏关怀实验室」，覆盖了空气净化器、扫地机器人、洗地机、吸尘器等产品。对于此类产品，在清理时可能将过敏源吹到空气中，此实验室就是为了测试相关问题而产生的。 上海·莱茵大厦  显示地图 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/72157b63ly1h7jp1rggp6j235c2d0x6p.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7jp1tv1hqj235c2d0hdv.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jp1vto4uj21w02io1ky.jpg",无,上海·莱茵大厦,2022-10-27 11:39,vivo X60 Pro+,7,1,0
MceaJF8Tt,#TUV莱茵150周年中国品质体验之旅# AR / VR 实验室会对设备进行多维度的测试，通过测试运延迟、设备光学特性、频闪等参数指标更完整地评价性能好坏。当然该实验室不仅局限于 AR / VR，也可以测试显示设备。 上海·莱茵大厦  显示地图 [组图共4张] 原图 ,,"http://ww3.sinaimg.cn/large/72157b63ly1h7joa6ol5aj235c2d0e83.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7joa96obdj235c2d04qr.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7joe33l2jj235c2d0hdu.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7joe50zihj235c2d01ky.jpg",无,上海·莱茵大厦,2022-10-27 11:25,vivo X60 Pro+,5,2,0
