微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Mcfpl3Bu7,昨晚失眠，在 Twitter Space上参加了场的关于自媒体的一场讨论，我讲了一些零碎的观点，讲完后，更睡不着了，于是记到苹果便签里了，没记完，先分享出来……欢迎讨论！  原图 ,,https://wx4.sinaimg.cn/large/538efefbly1h7ju2fapzij20sw1pitlx.jpg,无,无,2022-10-27 14:34,iPhone客户端,172,73,17
Mag3XnKJI,"这两天跟两位 90 后 Cali  和 Rather 做了一个线上的 Podcast《Ep.5 一起聊聊团队协同 》网页链接 ，配合这个 podcast, 我写了一篇 blog 网页链接 欢迎更多的朋友参与讨论。  原图 ",,https://wx2.sinaimg.cn/large/538efefbly1h74pk8gpylj21ao0q6n9c.jpg,无,无,2022-10-14 12:34,新版微博 weibo.com,38,18,5
M9wjt0ypS,马一龙在 Twitter 上回胡总“手整体插在口袋晨的人过分自信”这个是个什么梗？1）如果你用 Confucius say 这个关键词在 google 里搜一下就可以搜到好多外国人的“子曰”。比如这里收集好多个 Confucius say   网页链接2）马一龙说的英文原版的是：Confucius Say Man With Hand In Pocket Feel Cocky All Day ，在 amazon 上还有 T 恤卖 网页链接 直译是过分自信的男人总是把手放在裤兜里，从英文来说，cocky 是过份自信，或是自大，自负的意思，但是 cock 有别的引申义（你懂的），就是说，男人把手放在裤兜里可以整天摸到自己的 cock，所以，能摸到自己的 cock 就会过于自信……3）当你懂了这个梗后，你是不是再也无法直视男人把手插在裤兜里的照片了，是吧？！              [组图共3张]      原图                             ,,"http://ww2.sinaimg.cn/large/538efefbly1h6z3kwzpwnj20v01b8qiq.jpg,http://ww1.sinaimg.cn/large/538efefbly1h6z3l3kz6yj20hs0uq10b.jpg,http://ww1.sinaimg.cn/large/538efefbly1h6z3la9hjgj20zk0k0173.jpg",无,无,2022-10-09 16:05,新版微博 weibo.com,83,33,23
M8aic9TSn,下面的这个 URL 是合法的  原图 ,,https://wx1.sinaimg.cn/large/538efefbly1h6osns517yj21a00tsqc7.jpg,无,无,2022-09-30 18:12,新版微博 weibo.com,127,43,17
M77xNt6Od,今天，银行客户经理又来跟我推销他们的理财产品：“陈先生，你看你的帐户上有一些闲置资金，收益率非常低，我建议你还是配置一下，买点投资理财产品吧”，我说，“你把因果关系搞反了，正因为我不买投资理财产品，所以我才可能有闲置资金”……你看，懂逻辑就有这个好处，一句话就可以把天永久聊死……  ,,无,无,无,2022-09-23 21:22,新版微博 weibo.com,206,19,26
M6EMld0Co,我 macOS 上的微信程序占了我很多硬盘空间，进去看了一下，发现有个log的目录，占我了近1GB的空间（图一），然后里面还有每天的xlog的日志（二进制加密），日志都这么多，还有一个上传的ini文件……xlog是加密的，日志都要加密，看来是记录了不方便让人知道的信息，可以看到每分钟都在写，即使我不用桌面端的微信，每分钟写约100K的数据量，看了一个网络链接，会连两个IP的80端口，也是加密的数据，发送这些日志应该是周期比较长的异步的。因为都是加密的，所以暂时调查不下去了，简单解决一下，方案是把 log 目录权限收了（图二）。> chown root:wheel ./log> chmod 400 ./log目录已经不写了，桌面程序也没有报错，用 XCode 的工具看了一下文件操作，没有发现在别的地方写 xlog（图三）……             [组图共3张]      原图                             ,,"http://ww4.sinaimg.cn/large/538efefbly1h6dboveubrj213g128gxc.jpg,http://ww4.sinaimg.cn/large/538efefbly1h6dbtasnb5j20oi0mwte5.jpg,http://ww2.sinaimg.cn/large/538efefbly1h6dbtj2xskj22uo1i4x6p.jpg",无,无,2022-09-20 20:08,新版微博 weibo.com,335,166,65
M6mRgxm8J,今天孩子在微信朋友圈因为小事跟同学从争论演化成吵架再到漫骂，搞得孩子心情不好，说话跟吃了炸药似的，于是，我花了一下午教孩子怎么玩社交软件，三原则：1）要学会利用社交软件来扩大自己的朋友圈，这样你才遇得到更多更优秀的人，2）社交软件是用来展示自己的才华，扩大影响力，而不是转发信息，更不是讨论交流争论的地方，3）尽量不要争吵，你讨厌别人了，不要浪费时间，要学会使用拉黑屏蔽来减小社交成本，不必在乎你会失去朋友，把1）和2）做好，自然会有更多更好的人会来结交你……                                 ,,无,无,无,2022-09-18 22:30,iPhone客户端,230,61,18
M5PRlxpsq,本周六，我们有一个社区提交的 Easegress gRPC 的 PR#793 （ github.com/megaease/easegress/pull/793 ） Code Review，欢迎大家一起来参加!腾讯会议：159-636-072网页链接  原图 ,,https://wx1.sinaimg.cn/large/538efefbly1h673107mnhj20zw0l4gvg.jpg,无,无,2022-09-15 10:30,新版微博 weibo.com,24,9,7
M5IjZ3lSP,下面这两篇文章帮助大家了解一下我们今年的两个全新版本的开源软件：- EaseAgent 2.0  ：加上 Prometheus 和 Grafana，就是一个指标、日志、调用链的监控系统，网页链接- Easegress 2.0 ：全新的Pipeline，让 API 编排轻松自如 网页链接希望大家喜欢并支持！  ,,无,无,无,2022-09-14 15:18,新版微博 weibo.com,41,22,6
M4kd73NZj,Unconscious Bias 无意识偏见  原图 ,,https://wx2.sinaimg.cn/large/538efefbly1h5vlkslrs0j20px1fygrm.jpg,无,无,2022-09-05 12:05,iPhone客户端,188,43,22
M3IA3fsOV,有个跟我年纪相仿的老年程序员，经历也比较丰富，在我司工作一年来的感受，他写了篇非常“知乎体”的文章——《在 MegaEase 工作是一种怎样的体验》网页链接 。让我有点高兴也有点惭愧，高兴的获得些认同；惭愧是，大家应该值得更好的回报……我得继续加油努力！  ,,无,无,无,2022-09-01 12:17,新版微博 weibo.com,138,48,33
M2e051xdG,#上海中考数学# 看了一下抄错的题……1）24题把bx抄成了6x，2）25题应该是把小题的条件（local 变量)抄到总题里了（global 变量）……  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/538efefbly1h5fmnb6ix5j20yi0dlq4e.jpg,http://ww3.sinaimg.cn/large/538efefbly1h5fmnbdsbjj20m40mljth.jpg,http://ww4.sinaimg.cn/large/538efefbly1h5fmnb0a6ej20yi0i3gng.jpg,http://ww2.sinaimg.cn/large/538efefbly1h5fmnbnkbgj20u010mgom.jpg",无,无,2022-08-22 16:36,iPhone客户端,823,225,35
M2dvOiYKA,在昆明街头看到的条幅，几乎满大街都是一一“儿女沟通多一点，父母距离诈骗远一点”。我觉的还是别沟通了，根据统计（ 网页链接 ），子女才是被骗的重灾区，而且数额更大……  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/538efefbly1h5fkgcj2qcj21400u049v.jpg,http://ww4.sinaimg.cn/large/538efefbly1h5fkgi3fzvj20vv0u0djb.jpg",无,无,2022-08-22 15:22,iPhone客户端,40,13,18
M2dllq1b6,如果你接触的行业、圈子或是讲座，有如下几个特征，一般来说，你已经进入骗子圈了。 1）命题宏大。尤其是那些号称要颠覆世界，改变格局的，2）万能解。他们有一个产品或是技术可以解决各种问题，也就是找到了个“银弹”或是“准银弹”。3）快速发财。发财不是服务或产品，而是通过传销、金融和信仰……  ,,无,无,无,2022-08-22 14:56,iPhone客户端,155,32,22
M1Cemee0Z,用我司的 Easegress 2.0把各种 API 编排出一个telegram的翻译机器人，不需要写一行代码……  左耳朵耗子的微博视频  ,,无,"https://f.video.weibocdn.com/o0/oj1TiP1clx07YvQOOpXG010412009xcJ0E010.mp4?label=mp4_hd&template=414x768.24.0&Expires=1667210399&ssig=YYqjet2dTM&KID=unistore,video",无,2022-08-18 16:27,iPhone客户端,113,27,8
M0egLEvlw,这是三天前在呼和浩特东站进站时，进站闸机上用身份证进行人脸识别的系统……亮点自找……  原图 ,,https://wx2.sinaimg.cn/large/538efefbly1h50ghicheoj20oh0sgacq.jpg,无,无,2022-08-09 13:37,iPhone客户端,73,9,48
LFbh60zwA,靠！第一次需要翻墙才能上微博！  ,,无,无,无,2022-08-02 22:37,iPhone客户端,224,38,65
LDKJMkMNV,《程序员是怎么准备面试的》现在看我的博客都要先去磕个💊么？（00:50）😂😂😂（来源：Twitter @jomaoppa 网页链接 ） 左耳朵耗子的微博视频  ,,无,"https://f.video.weibocdn.com/u0/nKk5fPEUgx07XRLgRTDi01041200ds9M0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1667210400&ssig=d4bEJ6G5Py&KID=unistore,video",无,2022-07-24 13:14,iPhone客户端,180,72,17
LDAn4mw3g,在Twitter 上看到的一组图片……  [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/538efefbgy1h4go5envopj20iw0iwq3t.jpg,http://ww1.sinaimg.cn/large/538efefbgy1h4go5feby0j20ir0ir0w4.jpg,http://ww1.sinaimg.cn/large/538efefbgy1h4go5fu0b6j20px0pxwfn.jpg,http://ww3.sinaimg.cn/large/538efefbgy1h4go5gdbfmj21kw1kwjv3.jpg,http://ww3.sinaimg.cn/large/538efefbgy1h4go5h7vbij21o01o0tb7.jpg,http://ww2.sinaimg.cn/large/538efefbgy1h4go5e5dtrj20px0pxdhp.jpg",无,无,2022-07-23 10:50,iPhone客户端,305,263,16
