,continentName,countryName,province_confirmedCount
0,亚洲,中国,5007
542,亚洲,韩国,27754149
543,欧洲,奥地利,5613343
544,亚洲,伊朗,7560162
545,南美洲,智利,4958816
546,欧洲,塞尔维亚,2702128
547,欧洲,斯洛伐克,2652759
548,亚洲,日本,26091965
549,欧洲,乌克兰,5653011
550,北美洲,美国,101369163
551,欧洲,斯洛文尼亚,1275513
552,欧洲,捷克,4567383
553,北美洲,危地马拉,1171512
554,欧洲,立陶宛,1280574
555,北美洲,加拿大,4464788
556,南美洲,秘鲁,4354251
557,欧洲,克罗地亚,1257061
558,南美洲,玻利维亚,1118388
559,亚洲,阿塞拜疆,824870
560,亚洲,孟加拉国,2036806
561,南美洲,阿根廷,9766975
562,欧洲,保加利亚,1288912
563,非洲,摩洛哥,1270161
564,亚洲,菲律宾,4049042
565,大洋洲,澳大利亚,10862500
566,亚洲,巴基斯坦,1575479
567,亚洲,阿联酋,1045515
568,亚洲,沙特阿拉伯,826191
569,亚洲,巴林,697387
570,南美洲,委内瑞拉,560800
571,非洲,埃塞俄比亚,495241
572,欧洲,阿尔巴尼亚,333533
573,欧洲,黑山,284111
574,北美洲,古巴,1111549
575,亚洲,阿富汗,206603
576,非洲,肯尼亚,342107
577,大洋洲,新西兰,2019876
578,亚洲,马来西亚,5010634
579,亚洲,卡塔尔,484180
580,亚洲,以色列,4738352
581,南美洲,圭亚那,71752
582,亚洲,泰国,4715489
583,亚洲,印度尼西亚,6698790
584,亚洲,叙利亚,57414
585,非洲,毛里塔尼亚,63422
586,非洲,马达加斯加,67621
587,亚洲,尼泊尔,1000932
588,非洲,多哥,39337
589,欧洲,波兰,6357489
590,亚洲,缅甸,633457
591,欧洲,挪威,1470838
592,亚洲,新加坡,2181048
593,亚洲,柬埔寨,138251
594,亚洲,黎巴嫩,1221144
595,亚洲,斯里兰卡,671756
596,欧洲,马耳他,115973
633,欧洲,法国,38436751
634,欧洲,德国,36755666
636,欧洲,意大利,24709404
637,欧洲,西班牙,13632635
639,欧洲,荷兰,8561143
643,欧洲,丹麦,3365252
649,亚洲,印度,44676045
